FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
03F0212C/7;BMBF;725;PT-J;MGS1;Universitaet Rostock;13003000;Rostock, Hansestadt;Rostock;Mecklenburg-Vorpommern;;Universitaet Rostock - Fachbereich Elektrotechnik und Informationstechnik;13003000;Rostock, Hansestadt;Rostock;Mecklenburg-Vorpommern;;Verbundprojekt MESSIN: Entwicklung und Systemintegration der Komponenten Navigation, Automatische Steuerung, Kommunikation und Energieversorgung fuer den Messdelphin MESSIN;FB4010;Technik-/Infrastrukturentwicklung und -bereitstellung (ueberwachungssysteme, Begleitforschung zum Monitoring, innovative Technik und Geraetetraeger);1011998;31082000;648462;Forschung und Entwicklung zur Daseinsvorsorge;MESSIN
D251800 /0;BMBF;314;BIBB;A3.3;Ministerium fuer Wirtschaft, Arbeit und Wohnungsbau Baden-Wuerttemberg;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;KACO new energy GmbH;8121000;Heilbronn, Stadt;Heilbronn;Baden-Wuerttemberg;;Prozessorientierte Entwicklungsplanung und Qualifizierung im Betrieb;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1071997;30062000;96634;Forschung und Entwicklung zur Daseinsvorsorge;
D251800B/2;BMBF;314;BIBB;A3.3;Ministerium fuer Wirtschaft, Arbeit und Wohnungsbau Baden-Wuerttemberg;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;CALA e.V.;8118019;Gerlingen, Stadt;Gerlingen;Baden-Wuerttemberg;;Wiss. Begl. zum MV 'Prozessorientierte Entwicklungsplanung und Qualifizierung im Betrieb;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1071997;30062000;157457;Forschung und Entwicklung zur Daseinsvorsorge;
50WM9821/6;BMWi;IVD5;DLR-RFM;RD-RW;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Untersuchung des Schaeumens von Metallen unter variierten Schwerkraftbedingungen;IB3010;Forschung unter Weltraumbedingungen - Materialwissenschaften;1031998;31122001;452356;Technologie- und Innovationsfoerderung;
50WB9716/8;BMWi;IVD5;DLR-RFM;RD-RW;Universitaet Hohenheim;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Universitaet Hohenheim - Fakultaet Naturwissenschaften - Institut fuer Physiologie;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Der Einfluss verschiedener Gravitationsbedingungen auf das Verhalten kuenstlicher und nativer Ionenkanaele;IB3020;Forschung unter Weltraumbedingungen - Biowissenschaften und Medizin;1011998;31032002;358551;Technologie- und Innovationsfoerderung;
50NA9705/9;BMWi;IVD5;DLR-RFM;RD-RN;Airbus DS GmbH;9184145;Taufkirchen;Taufkirchen;Bayern;;Airbus DS GmbH;9184145;Taufkirchen;Taufkirchen;Bayern;;PROPNASS Entwurfsphase (Phase 3);IB7080;Studien im Rahmen der Satellitennavigation;1121997;30091998;139919;Technologie- und Innovationsfoerderung;
01RB9801/9;BMBF;727;PT-DLR;UF;Berufliche Fortbildungszentren der Bayerischen Arbeitgeberverbaende e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gemeinnuetzige GmbH - Bildungsforschung;9564000;Nuernberg;Nuernberg;Bayern;;Einfuehrung betrieblicher Umweltinformationssysteme (BUIS) begleitet durch Schulung und Fernunterricht;FD4010;Interne und externe Geschaeftsprozesse;1021998;31012001;169515;Technologie- und Innovationsfoerderung;
05SB8BDA/6;BMBF;711;PT-DESY;PT-DESY;Leibniz-Institut fuer Festkoerper- und Werkstoffforschung Dresden e.V.;14612000;Dresden, Stadt;Dresden;Sachsen;;Leibniz-Institut fuer Festkoerper- und Werkstoffforschung Dresden e.V.;14612000;Dresden, Stadt;Dresden;Sachsen;;Elektronenstruktur von korrelierten Materialien;U03052;Erforschung kondensierter Materie - Synchrotronstrahlen;1041998;31032001;78739;Erkenntnisorientierte und programmuebergreifende Grundlagenforschung;
05SF8BD1/1;BMBF;711;PT-DESY;PT-DESY;Leibniz-Institut fuer Festkoerper- und Werkstoffforschung Dresden e.V.;14612000;Dresden, Stadt;Dresden;Sachsen;;Leibniz-Institut fuer Festkoerper- und Werkstoffforschung Dresden e.V.;14612000;Dresden, Stadt;Dresden;Sachsen;;Elektronenstruktur von Grenz- und Multischichten aus organischen Molekuelen und Metallen;U03052;Erforschung kondensierter Materie - Synchrotronstrahlen;1041998;31032001;110950;Erkenntnisorientierte und programmuebergreifende Grundlagenforschung;
03C0271A/3;BMBF;523;PT-J;NMT;Leibniz-Institut fuer Katalyse e.V. an der Universitaet Rostock;13003000;Rostock, Hansestadt;Rostock;Mecklenburg-Vorpommern;;Leibniz-Institut fuer Katalyse e.V. an der Universitaet Rostock - Aussenstelle Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Lewis-acide und redoxaktive Zeolith-Katalysatoren fuer die Aktivierung von Methan und Fluessiggas-KW in der SCR von NOX - Teilprojekt: Praeparation und Charakterisierung der chemisorptiven und katalytischen Eigenschaften;KB3010;Neue katalytische Prozessrouten;1061998;31052001;309026;Technologie- und Innovationsfoerderung;Lewis-acide und redoxaktive Zeolite-Katasysatoren fuer SCR von NOx
